index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
0,1975,Beowulf,"Unknown, Seamus Heaney",en-US,Beginner,3.42,155903.0,Fiction,34160.0,20496.0,4.88,HarperCollins Publishers,7000.0,13664.0
1,1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267.0,Fiction,12437.5,7462.5,1.99,HarperCollins Publishers,6250.0,4975.0
2,2015,Go Set a Watchman,Harper Lee,eng,Beginner,3.31,138669.0,Fiction,47795.0,28677.0,8.69,"Amazon Digital Services,  Inc.",5500.0,19118.0
3,2008,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898.0,Fiction,41250.0,24750.0,7.5,Hachette Book Group,5500.0,16500.0
4,2011,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283.0,Fiction,37952.5,22771.5,7.99,Penguin Group (USA) LLC,4750.0,15181.0
5,2015,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354.0,Fiction,19960.0,0.0,4.99,"Amazon Digital Services,  Inc.",4000.0,19960.0
6,2011,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977.0,Fiction,27491.67,16495.002,6.99,HarperCollins Publishers,3933.0,10996.667999999998
7,1994,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997.0,Non-Fiction,26182.0,15709.2,6.89,Hachette Book Group,3800.0,10472.8
8,2012,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938.0,Fiction,26093.67,15656.202,6.99,HarperCollins Publishers,3733.0,10437.467999999999
9,1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872.0,Fiction,23792.34,14275.404,6.49,Random House LLC,3666.0,9516.936
10,2004,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415.0,Fiction,17964.0,0.0,4.99,"Amazon Digital Services,  Inc.",3600.0,17964.0
11,1954,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671.0,Fiction,21564.0,12938.4,5.99,Penguin Group (USA) LLC,3600.0,8625.6
12,2010,Last Sacrifice ,Richelle Mead,eng,,4.42,206792.0,Fiction,3431.34,0.0,0.99,"Amazon Digital Services,  Inc.",3466.0,3431.34
13,1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424.0,Fiction,6897.34,4138.404,1.99,HarperCollins Publishers,3466.0,2758.9359999999997
14,1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469.0,Fiction,21797.82,13078.692,6.54,Random House LLC,3333.0,8719.128
15,1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411.0,Fiction,16297.34,0.0,4.99,"Amazon Digital Services,  Inc.",3266.0,16297.34
16,1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752.0,Fiction,15968.0,0.0,4.99,"Amazon Digital Services,  Inc.",3200.0,15968.0
17,2006,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328.0,Fiction,15968.0,0.0,4.99,"Amazon Digital Services,  Inc.",3200.0,15968.0
